
MAME GP2X GAMELIST (1204 romsets)

Name      Description
colony7   "Colony 7 (set 1)"
colony7a  "Colony 7 (set 2)"
combasc   "Combat School"
combascb  "Combat School (bootleg)"
commsega  "Commando (Sega)"
commandu  "Commando (US)"
commando  "Commando (World)"
comotion  "Comotion"
congo     "Congo Bongo"
gryzorb   "Contra (Japan bootleg)"
contrab   "Contra (US bootleg)"
contra    "Contra (US)"
cookrace  "Cook Race"
clbowl    "Coors Light Bowling"
cop01     "Cop 01 (set 1)"
cop01a    "Cop 01 (set 2)"
copsnrob  "Cops'n Robbers"
cosmica   "Cosmic Alien"
cavenger  "Cosmic Avenger"
cosmicmo  "Cosmic Monsters"
crash     "Crash"
crater    "Crater Raider"
crbaloon  "Crazy Balloon (set 1)"
crbalon2  "Crazy Balloon (set 2)"
ccjap     "Crazy Climber (Japan)"
cclimber  "Crazy Climber (US)"
ccboot    "Crazy Climber (bootleg)"
ckongalc  "Crazy Kong (Alca bootleg)"
ckongjeu  "Crazy Kong (Jeutel bootleg)"
ckongs    "Crazy Kong (Scramble Hardware)"
ckong     "Crazy Kong (set 1)"
ckonga    "Crazy Kong (set 2)"
crsword   "Crossed Swords"
crush     "Crush Roller"
ccastles  "Crystal Castles (set 1)"
ccastle2  "Crystal Castles (set 2)"
curvebal  "Curve Ball"
cyberlip  "Cyber-Lip"
dday      "D-Day"
ghoulsj   "Dai Makai-Mura"
dakkochn  "DakkoChan Jansoh"
dangar    "Dangar - Ufo Robo (set 1)"
dangar2   "Dangar - Ufo Robo (set 2)"
dangarb   "Dangar - Ufo Robo (bootleg)"
darkplnt  "Dark Planet"
darkseal  "Dark Seal"
darwin    "Darwin 4078 (Japan)"
deadeye   "Dead Eye"
defence   "Defence Command"
redufo    "Defend the Terra Attack on the Red UFO"
defender  "Defender"
defcmnd   "Defense Command"
destderb  "Demolition Derby"
depthch   "Depth Charge"
desterth  "Destination Earth"
devstors  "Devastators"
devzone   "Devil Zone"
diamond   "Diamond Run"
digdug    "Dig Dug (Atari)"
digdugnm  "Dig Dug (Namco)"
digdug2   "Dig Dug 2"
dotrone   "Discs of Tron (Environmental)"
dotron    "Discs of Tron (Upright)"
dogpatch  "Dog Patch"
dogosoke  "Dogo Soken"
domino    "Domino Man"
dominos   "Dominos"
dkongjp   "Donkey Kong (Japan)"
dkong     "Donkey Kong (US)"
dkong3    "Donkey Kong 3"
dkongex   "Donkey Kong Factory (US)"
dkngjrjp  "Donkey Kong Jr. (Original Japanese)"
dkjrjp    "Donkey Kong Junior (Japan)"
dkongjr   "Donkey Kong Junior (US)"
dkjrbl    "Donkey Kong Junior (bootleg?)"
doubledr  "Double Dragon (Neo Geo)"
ddragonb  "Double Dragon (bootleg)"
ddragon2  "Double Dragon 2"
ddragon   "Double Dragon"
ddribble  "Double Dribble"
dplay     "Double Play"
drgninja  "Dragonninja"
dduxbl    "Dynamite Dux (bootleg)"
eswat     "E-Swat"
eswatbl   "E-Swat (bootleg)"
eagle     "Eagle"
edf       "Earth Defense Force"
eggs      "Eggs"
eightman  "Eight Man"
elecyoyo  "Electric Yo-Yo (set 1)"
elecyoy2  "Electric Yo-Yo (set 2)"
elevatob  "Elevator Action (bootleg)"
elevator  "Elevator Action"
elim2     "Eliminator (2 Players)"
elim4     "Eliminator (4 Players)"
enduror   "Enduro Racer"
endurobl  "Enduro Racer (bootleg)"
endurob2  "Enduro Racer (bootleg set 2)"
eprom     "Escape from the Planet of the Robot Monsters"
espiale   "Espial (Europe)"
espial    "Espial (US?)"
excthour  "Exciting Hour"
exctsccb  "Exciting Soccer (bootleg)"
exctsccr  "Exciting Soccer"
exedexes  "Exed Exes"
exeriont  "Exerion (Taito)"
exerionb  "Exerion (bootleg)"
exerion   "Exerion"
exprraid  "Express Raider"
exterm    "Exterminator"
ebases    "Extra Bases"
einnings  "Extra Innings"
eyes      "Eyes"
f1dreamb  "F1 Dream (bootleg)"
f1dream   "F1 Dream"
sqbert    "FHMC Q*Bert"
fantzone  "Fantasy Zone"
fantasy   "Fantasy"
fantazia  "Fantazia"
farwest   "Far West"
fastfred  "Fast Freddie"
fatfury1  "Fatal Fury - King of Fighters / Garou Densetsu"
fatfury2  "Fatal Fury 2"
fatfury3  "Fatal Fury 3"
fatfursp  "Fatal Fury Special"
fax       "Fax"
ffantasy  "Fighting Fantasy"
fitegolf  "Fighting Golf"
ffightj   "Final Fight (Japan)"
ffight    "Final Fight (World)"
firetpbl  "Fire Trap (Japan bootleg)"
firetrap  "Fire Trap"
fpoint    "Flash Point"
fpointbl  "Flash Point (bootleg)"
flicky    "Flicky (set 1)"
flicky2   "Flicky (set 2)"
flyboy    "Fly-Boy (bootleg?)"
foodf     "Food Fight"
fbfrenzy  "Football Frenzy"
formatz   "Formation Z"
frenzy1   "Frenzy (version 1)"
frenzy    "Frenzy"
friskyt   "Frisky Tom"
froggers  "Frog"
frogger2  "Frogger (modified Moon Cresta hardware)"
frogger   "Frogger (set 1)"
frogsega  "Frogger (set 2)"
frogs     "Frogs"
frontlin  "Front Line"
funkybee  "Funky Bee"
futspy    "Future Spy"
gwarrior  "Galactic Warriors"
galagamw  "Galaga (Midway)"
galaga    "Galaga (Namco)"
galagab2  "Galaga (bootleg)"
galagads  "Galaga (fast shoot)"
galaga3   "Galaga 3 (set 1)"
galaga3a  "Galaga 3 (set 2)"
galmidw   "Galaxian (Midway)"
galaxian  "Galaxian (Namco)"
galnamco  "Galaxian (Namco, modified)"
galap4    "Galaxian Part 4"
galapx    "Galaxian Part X"
galturbo  "Galaxian Turbo"
galaxyfg  "Galaxy Fight - Universal Warriors"
grescue   "Galaxy Rescue (bootleg?)"
galxwars  "Galaxy Wars"
galivan   "Galivan - Cosmo Police (set 1)"
galivan2  "Galivan - Cosmo Police (set 2)"
gallag    "Gallag"
galpanic  "Gals Panic"
gaplus    "Gaplus (set 1)"
gaplusa   "Gaplus (set 2)"
gardia    "Gardia"
gatedoma  "Gate Of Doom (revision 4)"
gatedoom  "Gate Of Doom (set 1)"
gaunt2p   "Gauntlet (2 Players)"
gauntir1  "Gauntlet (Intermediate Release 1)"
gauntir2  "Gauntlet (Intermediate Release 2)"
gaunt2    "Gauntlet 2"
gauntlet  "Gauntlet"
gemini    "Gemini Wing"
gensitou  "Genshi-Tou 1930's"
getstar   "Get Star (bootleg)"
gpilots   "Ghost Pilots"
gngcross  "Ghosts'n Goblins (Cross)"
gngt      "Ghosts'n Goblins (US)"
gng       "Ghosts'n Goblins (World?)"
ghouls    "Ghouls'n Ghosts"
japirem   "Gingateikoku No Gyakushu"
gladiatr  "Gladiator"
goalx3    "Goal! Goal! Goal!"
goindol   "Goindol"
goldnaxe  "Golden Axe (Version 1)"
goldnaxa  "Golden Axe (Version 2)"
goldnaxb  "Golden Axe (Version 2 317-0110)"
goldnaxc  "Golden Axe (Version 2 317-0122)"
goldnabl  "Golden Axe (bootleg)"
gcastle   "Golden Castle"
goldstbl  "Golden Star (Blue version)"
goldstar  "Golden Star"
gondo     "Gondomania"
gorfpgm1  "Gorf (Program 1)"
gorf      "Gorf"
gradius   "Gradius"
gravitar  "Gravitar"
gsword    "Great Swordsman"
gberet    "Green Beret"
gridiron  "Gridiron Fight"
growl     "Growl"
gwar      "Guerrilla War"
gmissile  "Guided Missile"
gundealr  "Gun Dealer (set 1)"
gundeala  "Gun Dealer (set 2)"
gunfight  "Gunfight"
gunsmokj  "Gunsmoke (Japan)"
gunsmrom  "Gunsmoke (US set 1)"
gunsmoka  "Gunsmoke (US set 2)"
gunsmoke  "Gunsmoke (World)"
gururin   "Gururin"
guzzler   "Guzzler"
gypsyjug  "Gypsy Juggler"
gyrussce  "Gyruss (Centuri)"
gyruss    "Gyruss (Konami)"
hangly    "Hangly Man"
hangon    "Hang-On"
hardhat   "Hard Hat"
headon    "Head On"
hbarrelj  "Heavy Barrel (Japan)"
hbarrel   "Heavy Barrel"
hvymetal  "Heavy Metal"
hwchamp   "Heavyweight Champ"
heiankyo  "Heiankyo Alien"
helifira  "Heli Fire (revision A)"
helifire  "Heli Fire (revision B)"
hellfire  "Hellfire"
hexa      "Hexa"
higemaru  "HigeMaru"
hiimpact  "High Impact Football (rev LA3 12/27/90)"
hippodrm  "Hippodrome"
homo      "Homo"
hustle    "Hustle"
hyprolyb  "Hyper Olympic (bootleg)"
hyprolym  "Hyper Olympic"
hyperspt  "HyperSports"
imsorryj  "I'm Sorry (Japan)"
imsorry   "I'm Sorry (US)"
irobot    "I, Robot"
ikarijpb  "Ikari Warriors (Japan bootleg)"
ikarijp   "Ikari Warriors (Japan)"
ikari     "Ikari Warriors (US)"
indytemp  "Indiana Jones and the Temple of Doom"
intrepid  "Intrepid"
intruder  "Intruder"
invrvnga  "Invader's Revenge (Dutchford)"
invrvnge  "Invader's Revenge"
invds     "Invinco / Deep Scan"
invho2    "Invinco / Head On 2"
invinco   "Invinco"
ironhors  "Iron Horse"
jackrabt  "Jack Rabbit (set 1)"
jackrab2  "Jack Rabbit (set 2)"
jackrabs  "Jack Rabbit (special)"
jack      "Jack the Giantkiller (set 1)"
jacka     "Jack the Giantkiller (set 2)"
jackal    "Jackal"
jailbrek  "Jail Break"
janshin   "Janshin Densetsu - Quest of Jongmaster"
joemac    "Joe & Mac (Japan)"
journey   "Journey"
joustr    "Joust (Solid Red label)"
joust     "Joust (White/Green label)"
joustwr   "Joust (White/Red label)"
jrpacman  "Jr. Pac Man"
jbugsega  "Jump Bug (bootleg)"
jumpbug   "Jump Bug"
jumpcoas  "Jump Coaster"
jumpshot  "Jump Shot"
jjack     "Jumping Jack"
jumping   "Jumping"
jhunt     "Jungle Hunt"
junglek   "Jungle King"
jungler   "Jungler (Konami)"
junglers  "Jungler (Stern)"
junofrst  "Juno First"
kabukikl  "Kabuki Klash / Far East of Eden"
kamikaze  "Kamikaze"
kangarob  "Kangaroo (bootleg)"
kangaroo  "Kangaroo"
kaos      "Kaos"
kchampvs  "Karate Champ (VS version)"
kchamp    "Karate Champ"
karnovj   "Karnov (Japan)"
karnov    "Karnov (US)"
